Spectral radius,Velocity v_2
3.21E+02,5.50E+02
3.24E+02,5.55E+02
3.27E+02,5.60E+02
3.29E+02,5.65E+02
3.31E+02,5.70E+02
3.33E+02,5.75E+02
3.35E+02,5.80E+02
3.37E+02,5.85E+02
3.39E+02,5.90E+02
3.41E+02,5.95E+02
3.42E+02,6.00E+02
3.44E+02,6.05E+02
3.45E+02,6.10E+02
3.46E+02,6.15E+02
3.48E+02,6.20E+02
3.49E+02,6.25E+02
3.50E+02,6.30E+02
3.51E+02,6.35E+02
3.52E+02,6.40E+02
3.53E+02,6.45E+02
3.54E+02,6.50E+02
3.55E+02,6.55E+02
3.56E+02,6.60E+02
3.57E+02,6.65E+02
3.58E+02,6.70E+02
3.59E+02,6.75E+02
3.60E+02,6.80E+02
3.60E+02,6.85E+02
3.61E+02,6.90E+02
3.62E+02,6.95E+02
3.63E+02,7.00E+02
3.63E+02,7.05E+02
3.64E+02,7.10E+02
3.65E+02,7.15E+02
3.65E+02,7.20E+02
3.66E+02,7.25E+02
3.66E+02,7.30E+02
3.67E+02,7.35E+02
3.68E+02,7.40E+02
3.68E+02,7.45E+02
3.69E+02,7.50E+02
3.69E+02,7.55E+02
3.70E+02,7.60E+02
3.70E+02,7.65E+02
3.71E+02,7.70E+02
3.71E+02,7.75E+02
3.72E+02,7.80E+02
3.72E+02,7.85E+02
3.72E+02,7.90E+02
3.73E+02,7.95E+02
3.73E+02,8.00E+02
3.74E+02,8.05E+02
3.74E+02,8.10E+02
3.74E+02,8.15E+02
3.75E+02,8.20E+02
3.75E+02,8.25E+02
3.76E+02,8.30E+02
3.76E+02,8.35E+02
3.76E+02,8.40E+02
3.77E+02,8.45E+02
3.77E+02,8.50E+02
3.77E+02,8.55E+02
3.78E+02,8.60E+02
3.78E+02,8.65E+02
3.78E+02,8.70E+02
3.79E+02,8.75E+02
3.79E+02,8.80E+02
3.79E+02,8.85E+02
3.80E+02,8.90E+02
3.80E+02,8.95E+02
3.80E+02,9.00E+02
3.80E+02,9.05E+02
3.81E+02,9.10E+02
3.81E+02,9.15E+02
3.81E+02,9.20E+02
3.81E+02,9.25E+02
3.82E+02,9.30E+02
3.82E+02,9.35E+02
3.82E+02,9.40E+02
3.82E+02,9.45E+02
3.83E+02,9.50E+02
3.83E+02,9.55E+02
3.83E+02,9.60E+02
3.83E+02,9.65E+02
3.84E+02,9.70E+02
3.84E+02,9.75E+02
3.84E+02,9.80E+02
3.84E+02,9.85E+02
3.85E+02,9.90E+02
3.85E+02,9.95E+02
3.85E+02,1.00E+03
3.85E+02,1.01E+03
3.85E+02,1.01E+03
3.86E+02,1.02E+03
3.86E+02,1.02E+03
3.86E+02,1.03E+03
3.86E+02,1.03E+03
3.86E+02,1.04E+03
3.87E+02,1.04E+03
3.87E+02,1.05E+03
3.87E+02,1.05E+03
3.87E+02,1.06E+03
3.87E+02,1.06E+03
3.87E+02,1.07E+03
3.88E+02,1.07E+03
3.88E+02,1.08E+03
3.88E+02,1.08E+03
3.88E+02,1.09E+03
3.88E+02,1.09E+03
3.88E+02,1.10E+03
3.89E+02,1.10E+03
3.89E+02,1.11E+03
3.89E+02,1.11E+03
3.89E+02,1.12E+03
3.89E+02,1.12E+03
3.89E+02,1.13E+03
3.90E+02,1.13E+03
3.90E+02,1.14E+03
3.90E+02,1.14E+03
3.90E+02,1.15E+03
3.90E+02,1.15E+03
3.90E+02,1.16E+03
3.90E+02,1.16E+03
3.91E+02,1.17E+03
3.91E+02,1.17E+03
3.91E+02,1.18E+03
3.91E+02,1.18E+03
3.91E+02,1.19E+03
3.91E+02,1.19E+03
3.91E+02,1.20E+03
3.92E+02,1.20E+03
3.92E+02,1.21E+03
3.92E+02,1.21E+03
3.92E+02,1.22E+03
3.92E+02,1.22E+03
3.92E+02,1.23E+03
3.92E+02,1.23E+03
3.92E+02,1.24E+03
3.93E+02,1.24E+03
3.93E+02,1.25E+03
3.93E+02,1.25E+03
3.93E+02,1.26E+03
3.93E+02,1.26E+03
3.93E+02,1.27E+03
3.93E+02,1.27E+03
3.93E+02,1.28E+03
3.93E+02,1.28E+03
3.94E+02,1.29E+03
3.94E+02,1.29E+03
3.94E+02,1.30E+03
3.94E+02,1.30E+03
3.94E+02,1.31E+03
3.94E+02,1.31E+03
3.94E+02,1.32E+03
3.94E+02,1.32E+03
3.94E+02,1.33E+03
3.94E+02,1.33E+03
3.95E+02,1.34E+03
3.95E+02,1.34E+03
3.95E+02,1.35E+03
3.95E+02,1.35E+03
3.95E+02,1.36E+03
3.95E+02,1.36E+03
3.95E+02,1.37E+03
3.95E+02,1.37E+03
3.95E+02,1.38E+03
3.95E+02,1.38E+03
3.96E+02,1.39E+03
3.96E+02,1.39E+03
3.96E+02,1.40E+03
3.96E+02,1.40E+03
3.96E+02,1.41E+03
3.96E+02,1.41E+03
3.96E+02,1.42E+03
3.96E+02,1.42E+03
3.96E+02,1.43E+03
3.96E+02,1.43E+03
3.96E+02,1.44E+03
3.96E+02,1.44E+03
3.97E+02,1.45E+03
3.97E+02,1.45E+03
3.97E+02,1.46E+03
3.97E+02,1.46E+03
3.97E+02,1.47E+03
3.97E+02,1.47E+03
3.97E+02,1.48E+03
3.97E+02,1.48E+03
3.97E+02,1.49E+03
3.97E+02,1.49E+03
3.97E+02,1.50E+03
3.97E+02,1.50E+03
3.98E+02,1.51E+03
3.98E+02,1.51E+03
3.98E+02,1.52E+03
3.98E+02,1.52E+03
3.98E+02,1.53E+03
3.98E+02,1.53E+03
3.98E+02,1.54E+03
3.98E+02,1.54E+03
3.98E+02,1.55E+03
3.98E+02,1.55E+03
3.98E+02,1.56E+03
3.98E+02,1.56E+03
3.98E+02,1.57E+03
3.98E+02,1.57E+03
3.99E+02,1.58E+03
3.99E+02,1.58E+03
3.99E+02,1.59E+03
3.99E+02,1.59E+03
3.99E+02,1.60E+03
3.99E+02,1.60E+03
3.99E+02,1.61E+03
3.99E+02,1.61E+03
3.99E+02,1.62E+03
3.99E+02,1.62E+03
3.99E+02,1.63E+03
3.99E+02,1.63E+03
3.99E+02,1.64E+03
3.99E+02,1.64E+03
3.99E+02,1.65E+03
3.99E+02,1.65E+03
4.00E+02,1.66E+03
4.00E+02,1.66E+03
4.00E+02,1.67E+03
4.00E+02,1.67E+03
4.00E+02,1.68E+03
4.00E+02,1.68E+03
4.00E+02,1.69E+03
4.00E+02,1.69E+03
4.00E+02,1.70E+03
4.00E+02,1.70E+03
4.00E+02,1.71E+03
4.00E+02,1.71E+03
4.00E+02,1.72E+03
4.00E+02,1.72E+03
4.00E+02,1.73E+03
4.00E+02,1.73E+03
4.00E+02,1.74E+03
4.01E+02,1.74E+03
4.01E+02,1.75E+03
4.01E+02,1.75E+03
4.01E+02,1.76E+03
4.01E+02,1.76E+03
4.01E+02,1.77E+03
4.01E+02,1.77E+03
4.01E+02,1.78E+03
4.01E+02,1.78E+03
4.01E+02,1.79E+03
4.01E+02,1.79E+03
4.01E+02,1.80E+03
4.01E+02,1.80E+03
4.01E+02,1.81E+03
4.01E+02,1.81E+03
4.01E+02,1.82E+03
4.01E+02,1.82E+03
4.01E+02,1.83E+03
4.01E+02,1.83E+03
4.01E+02,1.84E+03
4.02E+02,1.84E+03
4.02E+02,1.85E+03
4.02E+02,1.85E+03
4.02E+02,1.86E+03
4.02E+02,1.86E+03
4.02E+02,1.87E+03
4.02E+02,1.87E+03
4.02E+02,1.88E+03
4.02E+02,1.88E+03
4.02E+02,1.89E+03
4.02E+02,1.89E+03
4.02E+02,1.90E+03
4.02E+02,1.90E+03
4.02E+02,1.91E+03
4.02E+02,1.91E+03
4.02E+02,1.92E+03
4.02E+02,1.92E+03
4.02E+02,1.93E+03
4.02E+02,1.93E+03
4.02E+02,1.94E+03
4.02E+02,1.94E+03
4.02E+02,1.95E+03
4.03E+02,1.95E+03
4.03E+02,1.96E+03
4.03E+02,1.96E+03
4.03E+02,1.97E+03
4.03E+02,1.97E+03
4.03E+02,1.98E+03
4.03E+02,1.98E+03
4.03E+02,1.99E+03
4.03E+02,1.99E+03
4.03E+02,2.00E+03
4.03E+02,2.00E+03
